Page_ID,URL,Final_Page_Type,Test_Priority,Mobile_Performance,Mobile_LCP,Technical_Severity,Final_Ranking,Business_Weight,Combined_Priority,Root_Cause_Status
P006,https://pmb.widyatama.ac.id/biaya-kuliah-pascasarjana/,Pricing,P1 - Critical,57,15021.058662795178,8,5,3,24,Pending Diagnostic
P010,https://pmb.widyatama.ac.id/program-rpl/,Program,P1 - Critical,57,18625.046512833273,8,5,5,40,Pending Diagnostic
P011,https://pmb.widyatama.ac.id/biaya-kuliah-kelas-karyawan/,Pricing,P1 - Critical,57,15032.530493463997,8,5,5,40,Pending Diagnostic
P012,https://pmb.widyatama.ac.id/jurusan/,Program,P1 - Critical,57,76222.39220683923,8,5,5,40,Pending Diagnostic
P013,https://pmb.widyatama.ac.id/blog/,Content,P3 - Standard,56,18233.10020793002,8,5,2,16,Pending Diagnostic
P014,https://pmb.widyatama.ac.id/biaya-kuliah-kelas-reguler/,Pricing,P1 - Critical,57,15020.040745094633,8,5,5,40,Pending Diagnostic
P016,https://pmb.widyatama.ac.id/aktivitas-civitas/,Campus Life,P2 - High,56,19742.11127168316,8,5,3,24,Pending Diagnostic
P018,https://pmb.widyatama.ac.id/cek-jalur-pendaftaran/,Admission,P1 - Critical,58,8958.524316926545,8,5,5,40,Pending Diagnostic
P019,https://pmb.widyatama.ac.id/program-reguler/,Program,P1 - Critical,57,17356.576910499745,8,5,5,40,Pending Diagnostic
P020,https://pmb.widyatama.ac.id/program-kelas-karyawan/,Program,P1 - Critical,57,15322.55968286161,8,5,5,40,Pending Diagnostic
P021,https://pmb.widyatama.ac.id/fasilitas/,Campus Life,P2 - High,58,69447.71427505242,9,3,3,27,Pending Diagnostic
P023,https://pmb.widyatama.ac.id/biaya-kuliah-rpl/,Pricing,P1 - Critical,57,15034.513193137507,8,5,5,40,Pending Diagnostic
P024,https://pmb.widyatama.ac.id/apresiasi-prestasi-mahasiswa/,Campus Life,P2 - High,58,11946.055029726273,8,5,3,24,Pending Diagnostic
P025,https://pmb.widyatama.ac.id/asuransi-mahasiswa/,Campus Life,P2 - High,45,13501.087522596972,10,1,3,30,Pending Diagnostic
P026,https://pmb.widyatama.ac.id/organisasi-kemahasiswaan/,Campus Life,P2 - High,55,18924.07585951902,8,5,3,24,Pending Diagnostic
