Test_ID;Page_ID;URL;Device;Final_Page_Type;Speed_Test_Segment;Test_Priority;Baseline_ID;Analysis_Phase
T001;P001;https://pmb.widyatama.ac.id/;mobile;Homepage;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T002;P001;https://pmb.widyatama.ac.id/;desktop;Homepage;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T003;P002;https://pmb.widyatama.ac.id/petunjuk-pendaftaran/;mobile;Admission;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T004;P002;https://pmb.widyatama.ac.id/petunjuk-pendaftaran/;desktop;Admission;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T005;P003;https://pmb.widyatama.ac.id/jenjang-pendidikan/;mobile;Information;Core PMB Website;P2 - High;BL_20260821;BEFORE
T006;P003;https://pmb.widyatama.ac.id/jenjang-pendidikan/;desktop;Information;Core PMB Website;P2 - High;BL_20260821;BEFORE
T007;P004;https://pmb.widyatama.ac.id/privacy-policy/;mobile;Policy;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T008;P004;https://pmb.widyatama.ac.id/privacy-policy/;desktop;Policy;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T009;P005;https://pmb.widyatama.ac.id/cookie-policy/;mobile;Policy;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T010;P005;https://pmb.widyatama.ac.id/cookie-policy/;desktop;Policy;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T011;P006;https://pmb.widyatama.ac.id/biaya-kuliah-pascasarjana/;mobile;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T012;P006;https://pmb.widyatama.ac.id/biaya-kuliah-pascasarjana/;desktop;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T013;P007;https://pmb.widyatama.ac.id/mahasiswa-internasional/;mobile;International;Core PMB Website;P2 - High;BL_20260821;BEFORE
T014;P007;https://pmb.widyatama.ac.id/mahasiswa-internasional/;desktop;International;Core PMB Website;P2 - High;BL_20260821;BEFORE
T015;P008;https://pmb.widyatama.ac.id/output-lulusan/;mobile;Information;Core PMB Website;P2 - High;BL_20260821;BEFORE
T016;P008;https://pmb.widyatama.ac.id/output-lulusan/;desktop;Information;Core PMB Website;P2 - High;BL_20260821;BEFORE
T017;P009;https://pmb.widyatama.ac.id/beasiswa-mahasiswa-aktif/;mobile;Campaign;Core PMB Website;P2 - High;BL_20260821;BEFORE
T018;P009;https://pmb.widyatama.ac.id/beasiswa-mahasiswa-aktif/;desktop;Campaign;Core PMB Website;P2 - High;BL_20260821;BEFORE
T019;P010;https://pmb.widyatama.ac.id/program-rpl/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T020;P010;https://pmb.widyatama.ac.id/program-rpl/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T021;P011;https://pmb.widyatama.ac.id/biaya-kuliah-kelas-karyawan/;mobile;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T022;P011;https://pmb.widyatama.ac.id/biaya-kuliah-kelas-karyawan/;desktop;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T023;P012;https://pmb.widyatama.ac.id/jurusan/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T024;P012;https://pmb.widyatama.ac.id/jurusan/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T025;P013;https://pmb.widyatama.ac.id/blog/;mobile;Content;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T026;P013;https://pmb.widyatama.ac.id/blog/;desktop;Content;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T027;P014;https://pmb.widyatama.ac.id/biaya-kuliah-kelas-reguler/;mobile;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T028;P014;https://pmb.widyatama.ac.id/biaya-kuliah-kelas-reguler/;desktop;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T029;P015;https://online.pmb.widyatama.ac.id/;mobile;Registration System;Registration System;P1 - Critical;BL_20260821;BEFORE
T030;P015;https://online.pmb.widyatama.ac.id/;desktop;Registration System;Registration System;P1 - Critical;BL_20260821;BEFORE
T031;P016;https://pmb.widyatama.ac.id/aktivitas-civitas/;mobile;Campus Life;Core PMB Website;P2 - High;BL_20260821;BEFORE
T032;P016;https://pmb.widyatama.ac.id/aktivitas-civitas/;desktop;Campus Life;Core PMB Website;P2 - High;BL_20260821;BEFORE
T033;P017;https://pmb.widyatama.ac.id/program-pascasarjana/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T034;P017;https://pmb.widyatama.ac.id/program-pascasarjana/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T035;P018;https://pmb.widyatama.ac.id/cek-jalur-pendaftaran/;mobile;Admission;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T036;P018;https://pmb.widyatama.ac.id/cek-jalur-pendaftaran/;desktop;Admission;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T037;P019;https://pmb.widyatama.ac.id/program-reguler/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T038;P019;https://pmb.widyatama.ac.id/program-reguler/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T039;P020;https://pmb.widyatama.ac.id/program-kelas-karyawan/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T040;P020;https://pmb.widyatama.ac.id/program-kelas-karyawan/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T041;P021;https://pmb.widyatama.ac.id/fasilitas/;mobile;Campus Life;Core PMB Website;P2 - High;BL_20260821;BEFORE
T042;P021;https://pmb.widyatama.ac.id/fasilitas/;desktop;Campus Life;Core PMB Website;P2 - High;BL_20260821;BEFORE
T043;P022;https://pmb.widyatama.ac.id/jalur-seleksi/;mobile;Admission;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T044;P022;https://pmb.widyatama.ac.id/jalur-seleksi/;desktop;Admission;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T045;P023;https://pmb.widyatama.ac.id/biaya-kuliah-rpl/;mobile;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T046;P023;https://pmb.widyatama.ac.id/biaya-kuliah-rpl/;desktop;Pricing;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
